Value of N, Comparisons of O(n), Comparisons of O(M + log n), Comparisons of O(log n)
129600,39078,1293,0
129700,38742,1288,0
129800,38924,1275,0
129900,38921,1317,0
130000,39128,1289,0
130100,39015,1341,0
130200,39088,1332,0
130300,39062,1310,0
130400,39257,1329,0
130500,39214,1284,0
130600,39415,1317,0
130700,39066,1304,0
130800,39032,1301,0
130900,38901,1289,0
131000,39320,1296,0
131100,39181,1289,0
131200,39528,1358,0
131300,39524,1332,0
131400,39388,1273,0
131500,39453,1325,0
131600,39465,1330,0
131700,39415,1310,0
131800,39849,1331,0
131900,39423,1300,0
132000,39648,1321,0
132100,39617,1338,0
132200,39535,1331,0
132300,39511,1347,0
132400,39845,1309,0
132500,39621,1374,0
132600,39756,1360,0
132700,39565,1370,0
132800,39922,1391,0
132900,40042,1339,0
133000,39945,1336,0
133100,39801,1311,0
133200,40205,1319,0
133300,40179,1355,0
133400,40127,1328,0
133500,40021,1316,0
133600,39708,1311,0
133700,40309,1347,0
133800,40487,1404,0
133900,40073,1288,0
134000,40383,1337,0
134100,40180,1333,0
134200,40194,1374,0
134300,40415,1344,0
134400,40198,1390,0
134500,40336,1351,0
134600,40467,1326,0
134700,40416,1398,0
134800,40789,1380,0
134900,40140,1343,0
