Value of N,Comparisons of O(n),Comparisons of O(M + log n),Comparisons of O(log n)
87400,52590,8690,0
87500,52574,8846,0
87600,52571,8831,0
87700,52626,8681,0
87800,52740,8890,0
87900,52734,8766,0
88000,52759,8702,0
88100,52749,8886,0
88200,52939,8828,0
88300,52918,8782,0
88400,52831,8820,0
88500,53053,8841,0
88600,53164,8922,0
88700,53325,8843,0
88800,53117,8916,0
88900,53189,8971,0
89000,53424,8972,0
89100,53216,8790,0
89200,53432,8845,0
89300,53545,8858,0
89400,53615,8913,0
89500,53580,8957,0
89600,53779,8915,0
89700,53819,9044,0
89800,53660,8923,0
89900,53940,9058,0
90000,53856,9037,0
90100,54019,8853,0
90200,54452,9091,0
90300,54366,9081,0
90400,54159,9099,0
90500,54708,9067,0
90600,54761,9201,0
90700,54232,9036,0
90800,54310,9135,0
90900,54295,9011,0
91000,54688,9068,0
91100,54440,9197,0
91200,54537,8901,0
91300,54921,9258,0
91400,54923,9263,0
91500,54737,9092,0
91600,54932,9175,0
91700,55026,9084,0
91800,55097,9169,0
91900,55159,9224,0
92000,55405,9225,0
92100,55273,9247,0
92200,55295,9193,0
92300,55564,9210,0
92400,55079,9243,0
92500,55440,9249,0
92600,55354,9301,0
92700,55399,9179,0
92800,55923,9262,0
92900,55719,9124,0
93000,55614,9379,0
93100,55929,9392,0
93200,56161,9289,0
93300,55993,9455,0
93400,55977,9532,0
93500,56344,9552,0
93600,56275,9374,0
93700,56331,9420,0
93800,56239,9289,0
93900,56252,9390,0
94000,56559,9565,0
94100,56483,9452,0
94200,56468,9408,0
94300,56749,9445,0
94400,56526,9352,0
94500,56883,9446,0
94600,56655,9399,0
94700,56569,9125,0
94800,56998,9514,0
94900,56938,9566,0
95000,56958,9566,0
95100,56931,9466,0
95200,57219,9539,0
95300,57365,9565,0
95400,57373,9609,0
95500,57168,9605,0
95600,57165,9505,0
95700,57545,9543,0
95800,57372,9666,0
95900,57486,9589,0
96000,57609,9588,0
96100,57479,9680,0
96200,57602,9621,0
96300,57626,9593,0
96400,57833,9644,0
96500,58105,9647,0
96600,58240,9714,0
96700,57975,9458,0
96800,58017,9916,0
96900,58335,9650,0
97000,58306,9884,0
97100,58307,9779,0
97200,58503,9887,0
97300,58243,9743,0
97400,58507,9853,0
97500,58442,9731,0
97600,58513,9941,0
97700,58904,9835,0
97800,58671,9944,0
97900,58652,9708,0
98000,58590,9692,0
98100,59069,9624,0
98200,58903,9761,0
98300,59110,9945,0
98400,59018,9980,0
98500,58939,10066,0
98600,59338,9797,0
98700,59376,9780,0
98800,59099,9798,0
98900,59474,9845,0
99000,59383,9905,0
99100,59505,10068,0
99200,59608,10016,0
99300,59580,9884,0
99400,59940,10020,0
99500,59784,9942,0
99600,59861,9760,0
99700,59656,9918,0
99800,59752,9902,0
99900,60057,10170,0
100000,59894,9930,0
100100,60070,10143,0
100200,60158,10075,0
100300,60202,9960,0
100400,60028,10169,0
100500,60195,10006,0
100600,60359,10065,0
100700,60839,10290,0
100800,60377,9976,0
100900,60556,10213,0
101000,60543,10163,0
101100,60667,10200,0
101200,60873,10145,0
101300,60627,10093,0
101400,60696,9980,0
101500,60946,10185,0
101600,60986,10265,0
101700,61090,10197,0
101800,60966,10160,0
101900,61023,10204,0
102000,61274,10170,0
102100,61177,10223,0
102200,61178,10204,0
102300,61242,10241,0
102400,61460,10209,0
102500,61546,10185,0
102600,61535,10298,0
102700,61363,10384,0
102800,61642,10351,0
102900,61706,10342,0
103000,61724,10254,0
103100,61657,10398,0
103200,61961,10365,0
103300,61907,10333,0
103400,62302,10293,0
103500,61848,10493,0
103600,62223,10309,0
103700,62433,10427,0
103800,62406,10306,0
103900,62341,10525,0
104000,62180,10404,0
104100,62678,10408,0
104200,62644,10363,0
104300,62442,10367,0
104400,62510,10445,0
104500,62589,10290,0
104600,62674,10262,0
104700,62813,10442,0
104800,62899,10440,0
104900,63143,10490,0
105000,63079,10453,0
105100,63160,10417,0
105200,63086,10586,0
105300,63186,10473,0
105400,63193,10642,0
105500,63189,10588,0
105600,63238,10507,0
105700,63128,10550,0
105800,63542,10654,0
105900,63304,10502,0
106000,63516,10658,0
106100,63562,10638,0
106200,63508,10584,0
106300,63584,10554,0
106400,63779,10640,0
106500,63914,10634,0
106600,64007,10614,0
106700,64074,10665,0
106800,64111,10459,0
106900,64250,10681,0
107000,64187,10664,0
107100,64334,10652,0
107200,64153,10592,0
107300,64346,10767,0
107400,64336,10640,0
107500,64511,10666,0
107600,64369,10755,0
107700,64625,10785,0
107800,64694,10738,0
107900,64678,10769,0
108000,64597,10726,0
108100,65056,10750,0
108200,65056,10829,0
108300,65213,10857,0
108400,65087,10829,0
108500,64755,10818,0
108600,64975,10862,0
108700,65171,10780,0
108800,65458,10730,0
108900,65204,10936,0
109000,65235,10857,0
109100,65240,10810,0
109200,65802,10989,0
109300,65877,10994,0
109400,65788,11011,0
109500,65637,10861,0
109600,65850,10952,0
109700,65911,10969,0
109800,65883,11077,0
109900,65843,10968,0
110000,66128,11107,0
110100,66182,11109,0
110200,66109,11119,0
110300,66046,11016,0
110400,66259,11030,0
110500,66484,11288,0
110600,66330,10896,0
110700,66403,11098,0
110800,66615,11108,0
110900,66381,11016,0
111000,66956,11155,0
111100,66375,10979,0
111200,66845,11097,0
111300,66855,11101,0
111400,66666,10993,0
111500,66907,11266,0
111600,66746,11042,0
111700,67418,11013,0
111800,66950,11131,0
111900,67388,11002,0
112000,66857,10971,0
112100,67165,11206,0
112200,66840,11088,0
112300,67535,11217,0
112400,67712,11215,0
112500,67647,11132,0
112600,67872,11416,0
112700,67515,11266,0
112800,67390,11341,0
112900,67889,11318,0
113000,67613,11425,0
113100,68078,11331,0
113200,67661,11314,0
113300,67816,11396,0
113400,67983,11451,0
113500,68196,11299,0
113600,68074,11306,0
113700,68471,11504,0
113800,68238,11271,0
113900,68125,11341,0
114000,68647,11417,0
114100,68453,11380,0
114200,68546,11402,0
114300,68485,11410,0
114400,68505,11579,0
114500,68595,11552,0
114600,68602,11427,0
114700,68933,11628,0
114800,69057,11448,0
114900,68978,11342,0
115000,68903,11532,0
115100,69040,11537,0
115200,68956,11427,0
115300,69227,11573,0
115400,69147,11573,0
115500,69335,11706,0
115600,69235,11649,0
115700,69443,11666,0
115800,69783,11585,0
115900,69695,11786,0
116000,69412,11629,0
116100,69667,11577,0
116200,69572,11778,0
116300,70064,11876,0
116400,69830,11717,0
116500,69862,11623,0
116600,70327,11826,0
116700,70268,11910,0
116800,70021,11589,0
116900,70391,11818,0
117000,70036,11801,0
117100,70277,11824,0
117200,70144,11761,0
117300,70394,11703,0
117400,70630,11931,0
117500,70705,11803,0
117600,70833,11831,0
117700,70803,11843,0
117800,70591,11863,0
117900,70564,11681,0
118000,71001,11791,0
118100,70729,11674,0
118200,71210,11847,0
118300,71191,11922,0
118400,71052,11897,0
118500,71034,11916,0
118600,71184,11808,0
118700,71166,12014,0
